patch_id,city_code,entropy_normalised,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density,circuity,distance_to_center_km
vancouver_0038,vancouver,0.539845,149,109,43,0.470032,0.343849,0.135647,3.1483,44.08,21994.64,0.290938,495.31,34.3666,1.004189,3.708
cairo_2032,cairo,0.540288,0,22,2,0.0,0.611111,0.055556,2.5556,127.67,5872.81,0.164179,56.25,9.1763,1.191671,56.033
cairo_1950,cairo,0.521309,4,23,13,0.081633,0.469388,0.265306,2.3673,91.83,5326.12,0.107527,76.56,8.3221,1.023257,54.074
orlando_1118,orlando,0.525899,8,15,4,0.228571,0.428571,0.114286,2.8571,80.6,4029.86,0.246154,54.69,6.2966,1.083991,16.518
chandigarh_0102,chandigarh,0.532455,10,79,11,0.07874,0.622047,0.086614,2.7402,66.67,11600.28,0.192771,198.44,18.1254,1.027327,1.3
cleveland_0084,cleveland,0.550827,81,96,16,0.38756,0.45933,0.076555,3.1579,52.22,17233.45,0.2954,326.56,26.9273,1.005161,8.322
bogota_0510,bogota,0.533991,163,183,70,0.371298,0.416856,0.159453,3.0068,36.03,23782.63,0.254296,685.94,37.1604,1.013655,2.378
saltlakecity_0108,saltlakecity,0.550317,12,12,16,0.285714,0.285714,0.380952,2.4762,51.25,2664.96,0.139241,65.62,4.164,1.251592,5.746
bangkok_1515,bangkok,0.528994,14,65,57,0.091503,0.424837,0.372549,2.2353,59.43,10162.82,0.063123,239.06,15.8794,1.033103,22.62
portland_0568,portland,0.519829,4,31,25,0.052632,0.407895,0.328947,2.2632,54.36,4674.67,0.07483,118.75,7.3042,1.039143,14.974
chicago_0013,chicago,0.515483,123,239,23,0.292162,0.567696,0.054632,3.0974,41.55,27089.44,0.27718,657.81,42.3272,1.044436,21.27
chicago_0760,chicago,0.540443,192,211,5,0.439359,0.482838,0.011442,3.3776,36.46,26906.71,0.347526,682.81,42.0417,1.014563,20.504
chicago_0694,chicago,0.542598,153,249,80,0.287594,0.468045,0.150376,2.9211,38.35,29798.79,0.232295,831.25,46.5606,1.062509,5.401
chicago_0562,chicago,0.548272,260,169,68,0.494297,0.321293,0.129278,3.1863,34.9,29246.66,0.298949,821.87,45.6979,1.013995,8.279
chicago_0330,chicago,0.555324,223,159,36,0.5,0.356502,0.080717,3.2825,38.58,28243.74,0.323563,696.87,44.1308,1.014981,13.067
houston_1372,houston,0.553157,10,61,40,0.07874,0.480315,0.314961,2.3465,55.48,8265.84,0.092369,198.44,12.9154,1.032845,17.251
chicago_0612,chicago,0.527624,233,142,60,0.50324,0.306695,0.12959,3.1836,38.45,28341.21,0.298588,723.44,44.2831,1.016879,7.976
houston_0976,houston,0.562571,9,43,1,0.140625,0.671875,0.015625,2.9375,78.74,7401.32,0.252033,100.0,11.5646,1.018369,11.29
mendoza_0052,mendoza,0.560682,8,29,18,0.119403,0.432836,0.268657,2.4478,86.03,7054.39,0.124031,104.69,11.0225,1.005507,9.946
thessaloniki_0640,thessaloniki,0.566564,24,33,7,0.328767,0.452055,0.09589,3.0959,81.88,9252.87,0.29078,114.06,14.4576,1.009519,6.874
cairo_0227,cairo,0.56116,34,328,41,0.078886,0.761021,0.095128,2.8306,37.37,22797.17,0.210035,673.44,35.6206,1.012909,9.005
orlando_0529,orlando,0.562336,83,123,38,0.315589,0.467681,0.144487,2.9886,43.09,16935.02,0.25144,410.94,26.461,1.028221,1.755
cleveland_0364,cleveland,0.551332,67,75,17,0.374302,0.418994,0.094972,3.0726,66.34,18244.65,0.274788,279.69,28.5073,1.04494,10.3
detroit_0019,detroit,0.535007,47,100,14,0.271676,0.578035,0.080925,3.0405,39.7,10441.95,0.266862,270.31,16.3155,1.034721,14.047
chicago_0093,chicago,0.561513,138,159,46,0.373984,0.430894,0.124661,3.0623,48.14,27197.09,0.268759,576.56,42.4955,1.036629,15.944
chicago_0807,chicago,0.520786,207,163,20,0.501211,0.394673,0.048426,3.3705,37.81,26314.02,0.34592,645.31,41.1157,1.014697,10.18
miami_0155,miami,0.566957,26,84,66,0.139037,0.449198,0.352941,2.3743,39.79,8833.35,0.097561,292.19,13.8021,1.041516,2.859
houston_0638,houston,0.530192,34,42,12,0.34,0.42,0.12,2.98,53.34,7947.46,0.25641,156.25,12.4179,1.077503,12.251
chicago_0386,chicago,0.522465,212,194,10,0.475336,0.434978,0.022422,3.3632,39.9,29921.3,0.343856,696.87,46.752,1.022148,16.014
minneapolis_0269,minneapolis,0.522384,53,75,11,0.350993,0.496689,0.072848,3.1258,60.41,14255.68,0.289562,235.94,22.2745,1.001093,10.2
tehran_0830,tehran,0.559449,35,53,15,0.291667,0.441667,0.125,2.9833,63.51,11368.27,0.255319,187.5,17.7629,1.021756,11.756
laplata_0020,laplata,0.545125,28,29,2,0.368421,0.381579,0.026316,3.1316,81.78,9732.26,0.29932,118.75,15.2067,1.015298,1.139
chicago_0685,chicago,0.526272,171,139,10,0.51506,0.418675,0.03012,3.4277,41.09,23379.92,0.361153,518.75,36.5311,1.003923,12.541
vancouver_0011,vancouver,0.542496,86,83,29,0.38565,0.372197,0.130045,3.0135,60.31,20264.79,0.258503,348.44,31.6637,1.014132,6.002
bangkok_2262,bangkok,0.536148,7,40,26,0.081395,0.465116,0.302326,2.3256,91.73,9173.26,0.08982,134.37,14.3332,1.006736,41.001
cairo_1404,cairo,0.540827,12,89,7,0.096774,0.717742,0.056452,2.8548,35.5,6283.32,0.222222,193.75,9.8177,1.006217,38.857
bangkok_1415,bangkok,0.523558,14,48,12,0.166667,0.571429,0.142857,2.7619,89.15,10341.23,0.202454,131.25,16.1582,1.047616,18.588
saltlakecity_0198,saltlakecity,0.553901,163,111,233,0.302412,0.205937,0.432282,2.4304,35.55,23285.51,0.10904,842.19,36.3836,1.098001,1.044
sapporo_0119,sapporo,0.560252,101,65,25,0.467593,0.300926,0.115741,3.1204,56.75,19124.67,0.285714,337.5,29.8823,1.014445,8.7
minneapolis_0396,minneapolis,0.563537,143,153,109,0.335681,0.359155,0.255869,2.7746,40.27,23799.42,0.195986,665.62,37.1866,1.033122,3.788
lasvegas_1156,lasvegas,0.557657,3,33,27,0.04,0.44,0.36,2.16,98.49,7977.46,0.048276,117.19,12.4648,1.051782,11.737
houston_0900,houston,0.509749,27,47,9,0.284211,0.494737,0.094737,2.9684,73.96,10428.74,0.254054,148.44,16.2949,1.009511,7.81
minneapolis_0386,minneapolis,0.537966,41,79,12,0.271523,0.523179,0.07947,3.0066,60.37,13703.48,0.259259,235.94,21.4117,1.026975,11.647
houston_0253,houston,0.514396,28,117,28,0.153005,0.639344,0.153005,2.8087,52.39,13462.95,0.207756,285.94,21.0359,1.036133,12.548
houston_0859,houston,0.528483,29,35,6,0.345238,0.416667,0.071429,3.0714,76.85,9914.23,0.282209,131.25,15.491,1.012235,7.705
brasilia_0435,brasilia,0.562158,0,11,13,0.0,0.423077,0.5,1.9231,77.06,1926.39,0.0,40.62,3.01,1.094043,29.834
cleveland_0436,cleveland,0.529804,84,100,16,0.378378,0.45045,0.072072,3.1351,53.94,18771.26,0.289294,346.87,29.3301,1.027786,10.23
detroit_0389,detroit,0.566667,36,106,29,0.188482,0.554974,0.151832,2.7958,54.88,14653.21,0.204244,298.44,22.8956,1.054393,14.018
