patch_id,city_code,patch_idx,centroid_lat,centroid_lon,minx_utm,miny_utm,maxx_utm,maxy_utm,crs_utm,n_segments,n_intersections,n_nodes_in_patch,n_components,n_nodes_largest,largest_fraction,entropy_raw,entropy_normalised,entropy_weighted_raw,entropy_weighted_norm,phi,n_edges_used
orlando_0459,orlando,459,28.550957,-81.412252,459274.2,3157906.54,460074.2,3158706.54,EPSG:32617,864,265,265,4,259,0.9774,2.222572,0.620221,2.322377,0.648072,0.855139,772
phoenix_0821,phoenix,821,33.402,-112.090625,398180.48,3695985.52,398980.48,3696785.52,EPSG:32612,494,148,148,2,147,0.9932,2.111192,0.589139,1.434869,0.400408,0.891156,388
brasilia_0603,brasilia,603,-15.903377,-48.064775,171403.82,8238945.62,172203.82,8239745.62,EPSG:32723,814,248,248,2,247,0.996,2.067323,0.576897,1.997982,0.557548,0.903931,694
minneapolis_0716,minneapolis,716,45.002912,-93.169756,486221.29,4982887.85,487021.29,4983687.85,EPSG:32615,854,287,287,4,284,0.9895,2.19726,0.613157,2.332594,0.650923,0.863775,772
chicago_0551,chicago,551,41.863709,-87.666209,444308.44,4634458.65,445108.44,4635258.65,EPSG:32616,1442,455,455,11,443,0.9736,2.046036,0.570957,2.152242,0.600595,0.909843,1270
lasvegas_0466,lasvegas,466,36.138762,-115.198659,661673.93,4000442.16,662473.93,4001242.16,EPSG:32611,618,188,188,1,188,1.0,2.183562,0.609335,2.426896,0.677238,0.868338,530
phoenix_0639,phoenix,639,33.538843,-112.118188,395780.48,3711185.52,396580.48,3711985.52,EPSG:32612,1148,346,346,6,339,0.9798,2.153546,0.600959,2.400503,0.669873,0.878065,1002
chicago_0295,chicago,295,41.704908,-87.712644,440308.44,4616858.65,441108.44,4617658.65,EPSG:32616,992,285,285,7,279,0.9789,2.200194,0.613976,2.033609,0.567489,0.862788,866
denver_0289,denver,289,39.656515,-104.927986,505777.82,4389237.36,506577.82,4390037.36,EPSG:32613,584,154,154,2,153,0.9935,2.123152,0.592477,2.200873,0.614165,0.887535,508
adelaide_0982,adelaide,982,-34.951842,138.623504,282592.29,6129318.26,283392.29,6130118.26,EPSG:32754,372,109,109,2,107,0.9817,2.233083,0.623154,2.255773,0.629485,0.851475,294
cairo_0602,cairo,602,30.125333,31.373801,342943.78,3333389.41,343743.78,3334189.41,EPSG:32636,614,185,185,3,174,0.9405,2.07889,0.580125,2.078443,0.580001,0.90064,502
