patch_id,city_code,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
bangkok_0636,bangkok,8,0.0208,1663.2,1017.93,138.59,85.4
bangkok_0637,bangkok,16,0.017,679.61,507.62,74.15,76.27
bangkok_0913,bangkok,125,0.117,599.23,748.83,31.07,19.36
bangkok_0155,bangkok,0,0.0,,,,
bangkok_0201,bangkok,0,0.0,,,,
bangkok_1579,bangkok,5,0.0022,285.22,154.02,23.94,9.05
bangkok_0949,bangkok,197,0.1851,601.26,675.95,30.5,15.37
bangkok_2131,bangkok,1,0.0004,283.98,0.0,,
bangkok_0852,bangkok,32,0.0365,730.78,688.45,45.87,34.82
bangkok_0263,bangkok,6,0.0059,627.24,56.96,35.76,10.72
bangkok_1896,bangkok,3,0.0034,733.38,344.31,127.78,63.03
bangkok_1287,bangkok,18,0.0711,2527.04,5768.71,40.03,36.6
bangkok_0968,bangkok,432,0.3217,476.58,772.7,22.6,11.27
bangkok_0755,bangkok,599,0.181,193.43,406.32,11.89,11.21
bangkok_1090,bangkok,470,0.1542,209.93,665.27,16.22,10.95
bangkok_0455,bangkok,32,0.0157,314.82,210.1,26.99,47.91
bangkok_0438,bangkok,188,0.044,149.81,45.64,16.64,3.08
bangkok_1114,bangkok,463,0.112,154.76,419.21,13.05,18.29
bangkok_0430,bangkok,213,0.1921,577.18,645.31,23.99,24.95
bangkok_0493,bangkok,145,0.0502,221.57,512.43,15.74,10.21
bangkok_0690,bangkok,333,0.2036,391.37,859.93,17.22,17.78
bangkok_0511,bangkok,6,0.0055,581.56,1242.18,58.81,94.83
bangkok_0599,bangkok,13,0.037,1819.24,1863.63,110.91,97.13
bangkok_0549,bangkok,58,0.0221,243.63,350.75,17.32,15.17
barcelona_0142,barcelona,120,0.102,543.77,882.04,23.14,12.99
barcelona_0100,barcelona,1811,0.6089,215.18,434.66,10.17,6.47
barcelona_0160,barcelona,294,0.2501,544.52,553.04,24.54,14.52
barcelona_0167,barcelona,274,0.1165,272.07,486.69,16.2,17.26
barcelona_0042,barcelona,56,0.3404,3889.77,8121.62,58.39,39.4
barcelona_0050,barcelona,1023,0.5244,328.06,461.17,12.65,8.83
barcelona_0115,barcelona,667,0.3963,380.27,906.08,15.24,12.98
barcelona_0132,barcelona,1160,0.5138,283.45,645.87,11.59,9.07
barcelona_0015,barcelona,464,0.1012,139.57,129.68,18.09,9.02
barcelona_0081,barcelona,197,0.2243,728.58,2185.82,25.39,31.78
bergen_0556,bergen,20,0.003,96.6,105.55,32.84,31.41
bergen_0516,bergen,120,0.0145,77.56,63.33,20.05,12.28
bergen_0177,bergen,336,0.1151,219.2,494.98,16.96,15.26
bergen_0091,bergen,154,0.0203,84.39,77.95,19.36,12.21
bergen_0127,bergen,107,0.0137,81.97,138.44,21.38,15.38
bergen_0350,bergen,874,0.1247,91.34,125.78,10.66,7.73
bergen_0265,bergen,6,0.0003,29.44,23.55,160.71,45.34
bergen_0244,bergen,156,0.0277,113.72,347.12,15.51,7.71
bergen_0336,bergen,1234,0.2103,109.08,401.69,10.72,8.19
bergen_0533,bergen,81,0.013,102.94,78.72,24.49,29.24
bergen_0329,bergen,765,0.1545,129.28,323.24,14.91,8.21
bergen_0126,bergen,130,0.028,137.75,291.24,23.77,13.69
bergen_0216,bergen,415,0.0716,110.42,133.26,13.5,7.45
bergen_0585,bergen,342,0.0522,97.69,70.67,15.3,18.94
bergen_0605,bergen,46,0.0067,93.81,91.89,28.5,25.58
bergen_0560,bergen,189,0.0301,101.79,156.21,21.83,22.37
bergen_0217,bergen,480,0.0782,104.31,140.99,13.92,7.33
bergen_0369,bergen,532,0.2035,244.78,945.17,16.45,12.69
bergen_0311,bergen,310,0.1482,306.02,758.23,18.7,16.07
bologna_0178,bologna,97,0.1291,852.03,2333.79,33.76,27.85
bologna_0095,bologna,59,0.0409,443.77,2602.69,24.97,25.57
bologna_0106,bologna,656,0.3363,328.05,820.95,13.14,9.88
bologna_0052,bologna,355,0.1466,264.32,334.67,18.48,14.3
bologna_0024,bologna,106,0.0664,401.04,423.46,29.02,17.49
bologna_0087,bologna,279,0.0501,114.91,101.56,12.41,7.5
bruges_0082,bruges,385,0.2056,341.82,1265.04,18.51,16.99
brussels_0010,brussels,1687,0.4788,181.63,978.57,8.6,6.51
bucharest_0022,bucharest,249,0.0937,240.95,253.5,24.08,11.2
bucharest_0079,bucharest,41,0.0069,107.55,71.74,29.28,45.7
bucharest_0126,bucharest,2122,0.3428,103.39,183.8,9.67,4.41
bucharest_0246,bucharest,278,0.2228,513.03,506.5,31.22,16.33
bucharest_0243,bucharest,291,0.1953,429.53,1080.96,27.18,16.43
bucharest_0050,bucharest,268,0.2027,484.08,722.35,29.5,20.25
bucharest_0349,bucharest,444,0.2227,321.01,354.65,23.06,12.77
bucharest_0110,bucharest,134,0.2219,1059.84,2148.22,37.44,27.47
bucharest_0023,bucharest,167,0.1207,462.68,402.31,30.07,16.48
bucharest_0264,bucharest,186,0.1841,633.54,626.6,40.97,14.29
bucharest_0094,bucharest,694,0.2689,247.96,540.04,15.53,10.9
bucharest_0217,bucharest,87,0.0932,685.3,1508.11,36.16,19.22
bucharest_0150,bucharest,577,0.2385,264.58,399.94,18.63,12.67
bucharest_0058,bucharest,308,0.0887,184.31,738.11,18.93,15.21
bucharest_0157,bucharest,991,0.2564,165.56,191.25,13.67,7.24
bucharest_0151,bucharest,415,0.2328,358.98,726.96,22.87,15.43
bucharest_0197,bucharest,811,0.2329,183.81,354.08,14.86,8.97
bucharest_0196,bucharest,378,0.21,355.56,470.98,23.5,15.17
bucharest_0131,bucharest,229,0.1089,304.44,747.55,22.28,19.23
budapest_0684,budapest,632,0.1723,174.45,192.31,18.04,8.25
budapest_0616,budapest,90,0.2168,1541.56,3269.46,46.0,26.61
budapest_0604,budapest,876,0.1787,130.56,84.76,15.84,6.05
budapest_0496,budapest,1018,0.1993,125.27,72.28,14.64,6.58
budapest_0460,budapest,649,0.1838,181.21,147.07,18.99,7.75
budapest_0709,budapest,896,0.2046,146.18,96.46,17.6,6.18
budapest_0666,budapest,647,0.1931,191.03,285.23,18.05,7.63
budapest_0595,budapest,508,0.1725,217.28,319.57,21.17,9.87
budapest_0718,budapest,570,0.1179,132.36,64.87,17.82,6.96
budapest_0788,budapest,1075,0.2086,124.21,138.46,16.2,5.19
budapest_0328,budapest,395,0.1926,312.14,477.95,23.98,13.35
budapest_0563,budapest,668,0.2085,199.75,165.71,19.0,7.8
budapest_0733,budapest,230,0.0673,187.32,103.28,19.75,6.22
budapest_0592,budapest,516,0.1406,174.43,191.44,18.8,8.29
budapest_0351,budapest,256,0.0724,181.01,282.11,19.94,17.21
budapest_0654,budapest,765,0.1863,155.89,171.29,17.78,7.74
budapest_0202,budapest,83,0.0301,232.1,524.23,28.38,25.37
budapest_0685,budapest,55,0.0367,427.6,732.76,30.23,36.95
budapest_0396,budapest,190,0.1094,368.46,427.37,31.57,16.42
budapest_0765,budapest,111,0.0887,511.53,1491.36,31.21,20.87
budapest_0278,budapest,275,0.3867,899.98,1251.62,28.53,14.23
budapest_0295,budapest,229,0.1546,432.0,791.11,31.73,15.27
budapest_0065,budapest,950,0.1673,112.7,93.84,13.98,5.63
budapest_0378,budapest,483,0.2701,357.88,436.47,19.44,12.63
budapest_0446,budapest,83,0.0759,584.92,933.77,30.08,27.15
budapest_0479,budapest,357,0.0923,165.51,295.5,16.03,16.06
budapest_0313,budapest,71,0.0885,797.62,1048.48,44.59,39.84
budapest_0565,budapest,315,0.2504,508.78,2422.05,23.21,19.48
budapest_0270,budapest,81,0.0631,498.72,917.37,41.36,66.44
budapest_0011,budapest,22,0.0018,51.72,42.14,19.38,6.78
budapest_0167,budapest,87,0.0217,159.41,111.54,24.96,12.54
budapest_0370,budapest,326,0.3379,663.42,687.88,25.26,13.85
budapest_0463,budapest,223,0.1191,341.84,367.19,29.51,15.36
budapest_0052,budapest,84,0.0236,179.54,276.77,28.61,19.81
budapest_0095,budapest,5,0.0035,448.03,454.14,167.46,274.17
budapest_0160,budapest,575,0.1824,203.02,153.13,22.3,7.38
budapest_0303,budapest,48,0.0575,767.17,1080.26,43.68,30.71
buenosaires_0101,buenosaires,53,0.0214,258.96,248.92,36.03,39.83
buenosaires_0028,buenosaires,56,0.0304,347.29,550.93,28.04,34.89
buenosaires_0012,buenosaires,17,0.0096,360.21,449.81,50.92,41.8
buenosaires_0083,buenosaires,35,0.0133,243.98,255.77,35.84,91.96
buenosaires_0227,buenosaires,97,0.0772,509.35,796.52,35.09,39.6
buenosaires_0044,buenosaires,25,0.0097,247.77,249.16,43.85,22.1
buenosaires_0283,buenosaires,113,0.2482,1405.73,2194.7,43.52,21.75
buenosaires_0024,buenosaires,72,0.028,248.73,210.62,21.23,12.69
buenosaires_0105,buenosaires,43,0.0252,375.79,480.72,44.83,58.58
buenosaires_0152,buenosaires,47,0.1848,2516.7,5932.8,59.82,23.46
