patch_id,city_code,circuity,total_network_length,total_straight_length,n_edges_in_circuity
chicago_0313,chicago,1.004616,29015.87,28882.54,746
chicago_0677,chicago,1.018032,25899.25,25440.49,675
chicago_0627,chicago,1.031468,28218.5,27357.6,860
chicago_0438,chicago,1.006493,29470.95,29280.84,770
chicago_0455,chicago,1.031966,21522.85,20856.15,476
chicago_0543,chicago,1.016003,32083.27,31577.93,914
chicago_0586,chicago,1.018767,24650.67,24196.56,618
chicago_0212,chicago,1.045814,17747.43,16969.96,473
chicago_0894,chicago,1.010256,25568.06,25308.5,610
chicago_0013,chicago,1.044436,27089.44,25936.9,652
chicago_0760,chicago,1.014563,26906.71,26520.49,738
chicago_0694,chicago,1.062509,29335.94,27610.07,773
chicago_0562,chicago,1.013995,29057.04,28656.01,836
chicago_0330,chicago,1.014981,28129.86,27714.66,730
chicago_0612,chicago,1.016879,28341.21,27870.78,737
chicago_0093,chicago,1.036629,27018.26,26063.57,563
chicago_0807,chicago,1.014697,25516.41,25146.82,690
chicago_0386,chicago,1.022148,29921.3,29272.96,750
chicago_0685,chicago,1.003923,23148.44,23057.97,567
chicago_0575,chicago,1.029787,18647.32,18107.94,462
chicago_0446,chicago,1.0184,18180.3,17851.82,406
chicago_0109,chicago,1.012643,21541.61,21272.67,551
chicago_0801,chicago,1.041994,27090.11,25998.33,736
chicago_0626,chicago,1.01692,15226.92,14973.57,409
chicago_0514,chicago,1.003118,31548.83,31450.76,934
chicago_0778,chicago,1.014641,27513.53,27116.52,749
chicago_0360,chicago,1.021763,17145.25,16780.07,467
chicago_0287,chicago,1.028172,25014.87,24329.46,567
chicago_0721,chicago,1.005742,25983.42,25835.09,577
chicago_0893,chicago,1.003209,26946.63,26860.44,682
chicago_0931,chicago,1.01263,27050.46,26713.09,713
chicago_0051,chicago,1.016056,25975.17,25564.7,746
chicago_0771,chicago,1.012771,26897.89,26558.71,744
chicago_0230,chicago,1.014197,20075.7,19794.68,445
chicago_0854,chicago,1.047688,20608.4,19670.37,560
chicago_0624,chicago,1.009134,19411.77,19236.06,501
chicago_0609,chicago,1.013718,26264.7,25909.27,668
chicago_0652,chicago,1.04888,21614.42,20607.15,677
chicago_0417,chicago,1.020657,26906.96,26362.38,747
chicago_0564,chicago,1.010601,26489.77,26211.9,682
chicago_0350,chicago,1.014497,31869.79,31414.38,923
chicago_0326,chicago,1.06707,21278.18,19940.76,454
chicago_0551,chicago,1.057422,21860.44,20673.33,635
chicago_0295,chicago,1.048265,19756.98,18847.3,433
chicago_0744,chicago,1.025083,30651.81,29901.8,1221
chicago_0557,chicago,1.017145,23191.47,22800.55,578
chicago_0646,chicago,1.034943,20518.65,19825.87,491
chicago_0509,chicago,1.0158,20707.35,20385.26,542
chicago_0703,chicago,1.032797,28624.21,27715.24,851
chicago_0603,chicago,1.028342,27601.44,26840.73,917
chicago_0728,chicago,1.025621,22763.42,22194.76,588
chicago_0357,chicago,1.013136,27667.5,27308.78,732
chicago_0579,chicago,1.022154,22187.9,21707.0,547
chicago_0247,chicago,1.026007,27349.07,26655.82,711
chicago_0243,chicago,1.009872,34753.02,34413.3,1018
chicago_0774,chicago,1.010453,22200.31,21970.65,559
chicago_0452,chicago,1.046053,12944.59,12374.7,311
chicago_0081,chicago,1.012337,19004.28,18772.67,515
chicago_0331,chicago,1.023953,28433.81,27768.66,867
chicago_0702,chicago,1.044692,34806.39,33317.38,1345
chicago_0257,chicago,1.033548,19113.01,18492.61,438
chicago_0601,chicago,1.022912,31956.23,31240.46,1196
chicago_0461,chicago,1.053124,20686.88,19643.35,459
chicago_0842,chicago,1.027512,24652.57,23992.5,614
chicago_0122,chicago,1.012666,25870.36,25546.8,688
chicago_0123,chicago,1.004176,30705.26,30577.56,858
chicago_0813,chicago,1.032775,24231.11,23462.14,738
cleveland_0462,cleveland,1.000462,11689.09,11683.69,214
cleveland_0487,cleveland,1.00165,12545.04,12524.38,224
cleveland_0177,cleveland,1.009841,21263.24,21056.03,388
cleveland_0186,cleveland,1.004497,25443.96,25330.06,573
cleveland_0057,cleveland,1.055232,11815.86,11197.41,211
cleveland_0163,cleveland,0.998711,11438.37,11453.13,228
cleveland_0176,cleveland,1.002489,13004.81,12972.52,220
cleveland_0141,cleveland,1.011965,18439.84,18221.82,293
cleveland_0171,cleveland,1.018446,23290.76,22868.93,477
cleveland_0391,cleveland,1.014587,19517.04,19236.44,364
cleveland_0549,cleveland,1.060527,19683.58,18560.19,437
cleveland_0440,cleveland,1.006906,16904.1,16788.17,415
cleveland_0438,cleveland,1.003106,24301.23,24225.99,560
cleveland_0193,cleveland,1.077241,11135.21,10336.79,292
cleveland_0293,cleveland,1.00813,16691.69,16557.07,343
cleveland_0080,cleveland,1.084624,15851.1,14614.38,238
cleveland_0194,cleveland,1.022477,35473.12,34693.31,1992
cleveland_0331,cleveland,1.008145,10697.05,10610.62,197
cleveland_0042,cleveland,1.029745,10640.54,10333.18,214
cleveland_0084,cleveland,1.005161,17233.45,17144.96,330
cleveland_0364,cleveland,1.04494,18244.65,17459.99,275
cleveland_0436,cleveland,1.027786,18771.26,18263.79,348
cleveland_0147,cleveland,1.02331,21088.4,20608.02,450
cleveland_0385,cleveland,1.199683,11853.59,9880.61,247
cleveland_0256,cleveland,1.036233,18857.39,18198.03,482
cleveland_0087,cleveland,1.027502,10952.39,10659.24,206
cleveland_0046,cleveland,1.064229,16949.18,15926.25,392
cleveland_0501,cleveland,1.008497,11580.77,11483.2,259
cleveland_0159,cleveland,1.05264,9767.4,9278.96,369
cleveland_0439,cleveland,1.008508,20111.7,19942.04,410
cleveland_0375,cleveland,1.028929,27886.78,27102.72,867
cleveland_0138,cleveland,1.048937,20599.73,19638.68,396
cleveland_0041,cleveland,1.045,16528.34,15816.59,447
cleveland_0094,cleveland,1.025121,12247.92,11947.77,285
cleveland_0432,cleveland,1.101964,17383.84,15775.32,289
cleveland_0075,cleveland,1.085011,9310.06,8580.62,205
cleveland_0173,cleveland,1.023684,25577.99,24986.23,623
cleveland_0305,cleveland,1.021553,18528.66,18137.75,311
cleveland_0174,cleveland,1.04701,21785.59,20807.42,588
cleveland_0200,cleveland,1.012536,20462.37,20209.03,480
cleveland_0112,cleveland,1.015456,24440.98,24068.97,500
cleveland_0542,cleveland,1.014985,17352.75,17096.56,242
cleveland_0492,cleveland,1.069671,14109.0,13190.03,258
cleveland_0142,cleveland,1.011458,19467.95,19247.42,414
cleveland_0435,cleveland,1.048486,12629.44,12045.41,252
cleveland_0272,cleveland,1.046198,25764.18,24626.48,738
cleveland_0403,cleveland,1.033532,11793.8,11411.15,227
cleveland_0277,cleveland,1.056514,13374.82,12659.39,304
cleveland_0036,cleveland,1.143796,22075.63,19300.32,581
cleveland_0292,cleveland,1.042882,19579.88,18774.78,480
cleveland_0231,cleveland,1.057533,10194.88,9640.25,179
cleveland_0172,cleveland,1.046422,16464.61,15734.2,392
cleveland_0376,cleveland,1.036538,21874.7,21103.62,554
cleveland_0083,cleveland,1.064679,14703.0,13809.8,377
cleveland_0464,cleveland,1.130971,18634.87,16476.88,344
cologne_0347,cologne,1.152186,4812.97,4177.25,56
cologne_0296,cologne,1.058406,3111.23,2939.54,66
cologne_0049,cologne,1.045792,11436.82,10936.04,304
cologne_0035,cologne,1.056449,3981.74,3768.98,65
cologne_0574,cologne,1.098938,10698.57,9735.37,335
cologne_0116,cologne,1.026249,10179.55,9919.18,167
cologne_0529,cologne,1.048519,7158.92,6827.65,168
cologne_0261,cologne,1.069093,14439.38,13506.2,422
cologne_0254,cologne,1.03206,14126.27,13687.45,337
cologne_0119,cologne,1.072592,14315.29,13346.45,416
cologne_0429,cologne,1.03717,12852.61,12391.99,285
cologne_0198,cologne,1.038335,15545.88,14971.93,365
cologne_0260,cologne,1.044916,9279.64,8880.75,214
cologne_0597,cologne,1.06441,9087.16,8537.28,144
cologne_0502,cologne,1.044181,9435.87,9036.62,297
cologne_0265,cologne,1.052279,12482.81,11862.65,303
cologne_0203,cologne,1.028813,12351.03,12005.13,214
cologne_0478,cologne,1.062918,10049.56,9454.69,342
cologne_0169,cologne,1.07406,16468.48,15332.92,498
cologne_0193,cologne,1.018514,7622.13,7483.58,100
cologne_0277,cologne,1.04028,12360.27,11881.68,283
cologne_0561,cologne,1.029719,4225.41,4103.45,70
cologne_0078,cologne,1.047088,14466.43,13815.86,364
cologne_0211,cologne,1.134358,6409.44,5650.28,62
cologne_0255,cologne,1.04212,12767.09,12251.08,301
