patch_id,city_code,elev_mean,elev_std,elev_range,mean_slope
houston_0678,houston,26.64,2.24,10.0,0.922
tehran_0296,tehran,1140.24,2.83,13.0,0.989
phoenix_1309,phoenix,440.12,3.83,16.0,1.194
denver_0112,denver,1634.16,7.91,26.0,2.134
cleveland_0438,cleveland,277.68,2.41,9.0,0.781
lasvegas_0560,lasvegas,662.64,4.13,17.0,1.142
detroit_0118,detroit,181.08,1.7,7.0,0.795
cairo_0404,cairo,61.68,7.15,29.0,1.977
chicago_0929,chicago,180.88,1.58,6.0,0.68
saltlakecity_0214,saltlakecity,1381.8,19.64,75.0,4.921
detroit_0067,detroit,206.16,1.78,8.0,0.814
minneapolis_0217,minneapolis,273.68,2.99,12.0,1.109
medellin_0250,medellin,1578.92,35.06,142.0,9.079
minneapolis_0706,minneapolis,285.76,2.21,10.0,0.787
budapest_0496,budapest,110.08,1.09,4.0,0.477
detroit_0708,detroit,185.12,1.31,4.0,0.572
chicago_0516,chicago,184.4,1.47,6.0,0.643
detroit_0454,detroit,194.44,1.13,5.0,0.552
detroit_0292,detroit,181.96,2.18,9.0,0.939
munich_0505,munich,527.84,2.19,9.0,0.96
detroit_0316,detroit,180.56,1.63,6.0,0.677
portland_0302,portland,71.48,3.79,12.0,1.06
cleveland_0193,cleveland,257.52,6.23,23.0,1.679
chicago_0336,chicago,192.08,1.49,6.0,0.604
chicago_0569,chicago,183.92,1.41,6.0,0.622
cairo_0823,cairo,103.84,5.03,21.0,1.391
lasvegas_0416,lasvegas,726.24,4.06,14.0,1.02
denver_0302,denver,1629.24,2.93,10.0,0.995
vancouver_0140,vancouver,90.36,5.67,24.0,1.632
chicago_0221,chicago,183.84,1.32,5.0,0.618
denver_0243,denver,1601.68,4.98,17.0,1.408
chicago_0358,chicago,183.44,2.67,15.0,1.04
orlando_0514,orlando,29.12,4.87,20.0,1.685
houston_0755,houston,20.88,1.48,6.0,0.711
denver_0191,denver,1625.76,4.52,16.0,1.343
chicago_0143,chicago,190.84,1.38,5.0,0.544
phoenix_0532,phoenix,390.6,1.7,7.0,0.501
chicago_0442,chicago,184.64,1.35,6.0,0.547
chicago_0629,chicago,189.32,2.29,10.0,0.832
chicago_0189,chicago,183.16,1.29,5.0,0.599
chicago_0410,chicago,183.56,1.9,7.0,0.93
detroit_0041,detroit,182.68,1.59,8.0,0.731
minneapolis_0327,minneapolis,255.6,3.88,16.0,1.284
istanbul_1545,istanbul,65.48,15.79,62.0,4.637
portland_0369,portland,77.36,1.47,7.0,0.542
cleveland_0293,cleveland,192.24,3.15,17.0,1.103
sapporo_0244,sapporo,8.52,1.98,9.0,0.757
bangkok_1365,bangkok,4.6,2.02,10.0,0.885
denver_0042,denver,1646.32,12.3,42.0,3.299
brasilia_0303,brasilia,1160.76,9.74,36.0,2.399
houston_1231,houston,11.04,2.47,10.0,0.882
phoenix_1068,phoenix,336.2,2.28,10.0,0.78
saltlakecity_0040,saltlakecity,1295.56,1.27,4.0,0.509
detroit_0410,detroit,196.32,2.09,8.0,0.722
istanbul_0092,istanbul,130.68,18.84,66.0,5.269
thessaloniki_1808,thessaloniki,102.16,10.34,38.0,2.804
tehran_0465,tehran,1365.48,20.61,71.0,5.787
brasilia_0415,brasilia,1267.92,3.67,14.0,1.428
brasilia_0781,brasilia,1193.64,10.51,38.0,2.665
lasvegas_0201,lasvegas,764.56,11.47,48.0,2.952
minneapolis_0809,minneapolis,266.12,3.02,12.0,1.097
chennai_0186,chennai,14.36,2.4,8.0,0.904
chicago_0492,chicago,183.92,1.52,8.0,0.717
cleveland_0080,cleveland,232.32,2.43,10.0,0.935
sapporo_0549,sapporo,25.84,5.62,25.0,1.63
chicago_0299,chicago,190.28,1.4,6.0,0.598
minneapolis_0652,minneapolis,268.12,8.54,30.0,2.212
houston_0553,houston,28.36,1.67,6.0,0.694
portland_0415,portland,79.64,2.67,11.0,0.98
detroit_0114,detroit,180.12,1.34,5.0,0.619
chicago_0163,chicago,188.52,1.39,6.0,0.675
houston_0744,houston,19.8,3.33,15.0,1.493
sapporo_0403,sapporo,10.4,1.33,6.0,0.602
quito_1039,quito,2770.52,10.96,36.0,2.959
chicago_0337,chicago,192.28,1.22,5.0,0.54
chicago_0313,chicago,182.52,1.14,5.0,0.493
vancouver_0105,vancouver,87.16,7.92,28.0,2.387
chicago_0677,chicago,186.56,1.39,5.0,0.523
houston_0538,houston,21.72,2.11,8.0,0.882
chicago_0627,chicago,190.04,1.34,5.0,0.615
laplata_0013,laplata,9.2,1.33,5.0,0.573
detroit_0022,detroit,189.68,1.64,7.0,0.727
portland_0375,portland,68.76,8.72,39.0,2.531
brasilia_1849,brasilia,1064.52,10.93,39.0,2.929
cleveland_0194,cleveland,242.48,4.19,19.0,1.239
quito_0132,quito,2963.48,11.33,37.0,3.034
chicago_0438,chicago,187.04,1.34,6.0,0.522
bengaluru_0487,bengaluru,924.24,5.2,19.0,1.686
portland_0208,portland,60.52,2.71,12.0,0.87
detroit_0054,detroit,187.92,1.81,9.0,0.582
houston_0703,houston,21.76,2.79,13.0,1.173
portland_0360,portland,75.44,5.16,18.0,1.388
detroit_0199,detroit,188.0,1.74,7.0,0.667
chicago_0455,chicago,184.0,2.53,14.0,0.929
toronto_0634,toronto,165.44,5.09,18.0,1.393
chicago_0543,chicago,183.44,1.24,6.0,0.51
chicago_0586,chicago,185.08,1.49,5.0,0.655
vancouver_0128,vancouver,67.32,11.23,43.0,3.101
brasilia_0977,brasilia,1241.08,5.54,18.0,1.53
hanoi_0180,hanoi,30.32,9.96,38.0,3.354
orlando_0291,orlando,28.6,3.03,11.0,1.448
detroit_0197,detroit,185.76,1.66,7.0,0.724
portland_0336,portland,48.96,2.34,9.0,0.962
phoenix_0238,phoenix,325.56,2.33,11.0,0.856
phoenix_0385,phoenix,343.12,3.33,17.0,1.124
cairo_1341,cairo,185.24,3.98,15.0,1.148
