patch_id,city_code,n_blocks,mean_block_area,std_block_area,cv_block_area,mean_block_eri,mean_block_compact,mean_block_elong,mean_block_convex
istanbul_2485,istanbul,48,9025.81,11516.46,1.2759,0.9278,0.4187,0.5458,0.9135
istanbul_0689,istanbul,22,10878.7,12834.01,1.1797,0.9608,0.3984,0.5021,0.9608
istanbul_2797,istanbul,31,5411.5,7483.42,1.3829,0.8666,0.408,0.6017,0.8367
istanbul_3066,istanbul,15,4720.79,5708.54,1.2092,0.7195,0.2903,0.4517,0.6563
jerusalem_0120,jerusalem,16,13751.47,8530.27,0.6203,0.9624,0.3861,0.4831,0.9411
jerusalem_0103,jerusalem,20,8616.51,7339.39,0.8518,0.9434,0.3856,0.4669,0.9065
jerusalem_0140,jerusalem,9,18795.52,20658.17,1.0991,0.8856,0.2621,0.4261,0.8582
jerusalem_0100,jerusalem,35,9679.55,7542.63,0.7792,0.9539,0.4477,0.5841,0.9471
jerusalem_0038,jerusalem,1,563.18,0.0,0.0,1.0,0.9911,0.9987,1.0
jerusalem_0021,jerusalem,7,11916.27,10239.15,0.8593,0.9444,0.4735,0.6143,0.9121
kyiv_0939,kyiv,0,,,,,,,
kyiv_0893,kyiv,6,18532.22,2827.51,0.1526,0.9718,0.3395,0.3681,0.9704
kyiv_0158,kyiv,9,26667.02,14562.58,0.5461,0.9872,0.4689,0.5545,0.9871
kyiv_1018,kyiv,0,,,,,,,
kyiv_0518,kyiv,0,,,,,,,
kyiv_0123,kyiv,0,,,,,,,
kyiv_0138,kyiv,6,38915.85,18860.22,0.4846,0.9898,0.4726,0.5301,0.9922
kyiv_1075,kyiv,0,,,,,,,
kyiv_0538,kyiv,5,59015.46,50212.19,0.8508,0.9949,0.268,0.3057,0.9926
kyiv_0147,kyiv,0,,,,,,,
kyiv_0394,kyiv,0,,,,,,,
kyiv_0118,kyiv,8,25106.13,16182.25,0.6446,0.9694,0.4131,0.4861,0.9589
kyiv_0872,kyiv,2,26354.83,2822.52,0.1071,0.9331,0.4579,0.7523,0.9649
kyiv_0377,kyiv,3,56266.64,37020.27,0.6579,0.9939,0.4243,0.4794,0.9919
kyiv_0144,kyiv,3,91891.49,119421.04,1.2996,0.9871,0.3466,0.4042,0.9929
kyiv_0346,kyiv,7,19457.19,15288.4,0.7857,0.9778,0.3765,0.4244,0.9702
kyiv_0548,kyiv,0,,,,,,,
kyiv_0211,kyiv,1,630.63,0.0,0.0,0.6767,0.2395,0.65,0.6396
kyiv_0919,kyiv,0,,,,,,,
kyiv_0143,kyiv,6,5765.63,4429.87,0.7683,0.8038,0.3202,0.5621,0.7614
kyiv_0928,kyiv,0,,,,,,,
kyiv_0760,kyiv,1,1850.2,0.0,0.0,0.8534,0.1502,0.2116,0.9878
kyiv_0418,kyiv,1,7419.25,0.0,0.0,1.0,0.5119,0.4902,0.9814
kyiv_0275,kyiv,2,2583.37,1703.24,0.6593,0.7832,0.215,0.3939,0.8382
kyiv_0722,kyiv,0,,,,,,,
kyiv_0340,kyiv,1,33774.41,0.0,0.0,0.9964,0.617,0.8217,0.9933
kyiv_0152,kyiv,1,10824.28,0.0,0.0,0.9608,0.1426,0.1294,0.9427
kyiv_0447,kyiv,0,,,,,,,
kyiv_0606,kyiv,1,3555.68,0.0,0.0,1.0,0.4769,0.4919,0.9999
kyiv_0604,kyiv,0,,,,,,,
kyiv_0398,kyiv,0,,,,,,,
kyiv_0592,kyiv,1,13785.31,0.0,0.0,1.0,0.447,0.5467,0.9985
kyiv_0316,kyiv,0,,,,,,,
