patch_id,city_code,n_nodes_used,n_edges_used,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density
bangkok_0970,bangkok,156,186,18,72,51,0.115385,0.461538,0.326923,2.3846,55.07,10242.29,0.100977,243.75,16.0036
bangkok_1064,bangkok,165,178,13,67,67,0.078788,0.406061,0.406061,2.1576,68.19,12137.97,0.043077,257.81,18.9656
bangkok_1715,bangkok,80,90,0,40,20,0.0,0.5,0.25,2.25,61.52,5537.1,0.070968,125.0,8.6517
bangkok_0011,bangkok,98,103,15,25,48,0.153061,0.255102,0.489796,2.102,57.07,5878.58,0.031414,153.12,9.1853
bangkok_1023,bangkok,147,166,13,64,56,0.088435,0.435374,0.380952,2.2585,67.58,11217.94,0.069204,229.69,17.528
bangkok_1707,bangkok,91,94,3,41,41,0.032967,0.450549,0.450549,2.0659,64.93,6103.14,0.022599,142.19,9.5362
bangkok_1486,bangkok,98,109,6,44,34,0.061224,0.44898,0.346939,2.2245,72.85,7940.91,0.062827,153.12,12.4077
bangkok_0705,bangkok,85,103,14,35,27,0.164706,0.411765,0.317647,2.4235,59.49,6127.68,0.115152,132.81,9.5745
bangkok_0754,bangkok,131,139,5,62,56,0.038168,0.473282,0.427481,2.1221,59.04,8206.54,0.035019,204.69,12.8227
bangkok_2346,bangkok,64,68,0,34,26,0.0,0.53125,0.40625,2.125,75.93,5163.39,0.04065,100.0,8.0678
bangkok_1890,bangkok,83,89,2,39,34,0.024096,0.46988,0.409639,2.1446,77.01,6854.07,0.043478,129.69,10.7095
bangkok_1705,bangkok,78,85,0,44,30,0.0,0.564103,0.384615,2.1795,73.86,6278.17,0.05298,121.87,9.8096
bangkok_0524,bangkok,201,212,12,88,93,0.059701,0.437811,0.462687,2.1095,49.88,10574.52,0.030227,314.06,16.5227
bangkok_0901,bangkok,175,218,37,66,60,0.211429,0.377143,0.342857,2.4914,48.73,10624.13,0.127536,273.44,16.6002
bangkok_0440,bangkok,106,112,12,39,51,0.113208,0.367925,0.481132,2.1132,41.14,4608.07,0.033816,165.62,7.2001
bangkok_1299,bangkok,54,62,0,33,17,0.0,0.611111,0.314815,2.2963,72.16,4474.2,0.087379,84.37,6.9909
bangkok_1811,bangkok,72,72,1,32,34,0.013889,0.444444,0.472222,2.0,62.96,4533.41,0.007194,112.5,7.0835
bangkok_0815,bangkok,177,218,16,91,50,0.090395,0.514124,0.282486,2.4633,48.65,10605.31,0.120344,276.56,16.5708
bangkok_1732,bangkok,123,124,2,55,57,0.01626,0.447154,0.463415,2.0163,56.54,7010.38,0.008299,192.19,10.9537
bangkok_0016,bangkok,122,129,2,58,48,0.016393,0.47541,0.393443,2.1148,63.33,8169.76,0.033473,190.62,12.7652
bangkok_2204,bangkok,135,140,3,61,57,0.022222,0.451852,0.422222,2.0741,64.94,9091.41,0.022642,210.94,14.2053
bangkok_0114,bangkok,151,168,19,56,60,0.125828,0.370861,0.397351,2.2252,56.81,9544.26,0.060606,235.94,14.9129
bangkok_1101,bangkok,189,205,6,93,73,0.031746,0.492063,0.386243,2.1693,63.23,12962.27,0.045576,295.31,20.2535
bangkok_0910,bangkok,150,167,8,74,59,0.053333,0.493333,0.393333,2.2267,67.49,11271.49,0.061017,234.37,17.6117
bangkok_0152,bangkok,152,167,13,67,63,0.085526,0.440789,0.414474,2.1974,60.79,10152.42,0.053512,237.5,15.8632
bangkok_0636,bangkok,149,161,5,72,58,0.033557,0.483221,0.389262,2.1611,57.09,9191.57,0.044369,232.81,14.3618
bangkok_0637,bangkok,250,285,26,112,98,0.104,0.448,0.392,2.28,48.06,13698.46,0.072727,390.62,21.4038
bangkok_0913,bangkok,217,275,34,100,55,0.156682,0.460829,0.253456,2.5346,53.93,14830.47,0.137529,339.06,23.1726
bangkok_0155,bangkok,83,82,4,31,41,0.048193,0.373494,0.493976,1.9759,61.57,5049.06,0.0,129.69,7.8892
bangkok_0201,bangkok,188,192,11,77,91,0.058511,0.409574,0.484043,2.0426,52.47,10074.54,0.013477,293.75,15.7415
bangkok_1579,bangkok,168,190,11,82,60,0.065476,0.488095,0.357143,2.2619,50.61,9615.35,0.069486,262.5,15.024
bangkok_0949,bangkok,202,261,9,136,42,0.044554,0.673267,0.207921,2.5842,49.21,12843.09,0.150376,315.62,20.0673
bangkok_2131,bangkok,70,78,1,36,22,0.014286,0.514286,0.314286,2.2286,70.99,5537.19,0.066667,109.37,8.6519
bangkok_0852,bangkok,153,188,2,98,35,0.013072,0.640523,0.228758,2.4575,85.55,16083.1,0.119601,239.06,25.1298
bangkok_0263,bangkok,175,195,19,73,74,0.108571,0.417143,0.422857,2.2286,50.52,9851.09,0.06087,273.44,15.3923
bangkok_1896,bangkok,99,105,5,42,40,0.050505,0.424242,0.40404,2.1212,66.52,6984.42,0.036269,154.69,10.9132
bangkok_1287,bangkok,115,125,4,57,45,0.034783,0.495652,0.391304,2.1739,53.98,6746.89,0.048889,179.69,10.542
bangkok_0968,bangkok,108,136,13,53,29,0.12037,0.490741,0.268519,2.5185,68.2,9275.81,0.137441,168.75,14.4934
bangkok_0755,bangkok,199,247,23,99,55,0.115578,0.497487,0.276382,2.4824,43.83,10825.96,0.124682,310.94,16.9156
bangkok_1090,bangkok,72,79,3,36,28,0.041667,0.5,0.388889,2.1944,62.28,4919.77,0.057554,112.5,7.6871
bangkok_0455,bangkok,202,213,14,82,88,0.069307,0.405941,0.435644,2.1089,49.43,10529.27,0.030075,315.62,16.452
bangkok_0438,bangkok,158,170,8,74,66,0.050633,0.468354,0.417722,2.1519,47.66,8101.7,0.041801,246.87,12.6589
bangkok_1114,bangkok,188,236,22,94,51,0.117021,0.5,0.271277,2.5106,64.74,15278.33,0.132075,293.75,23.8724
bangkok_0430,bangkok,227,302,48,109,55,0.211454,0.480176,0.242291,2.6608,48.53,14655.27,0.169265,354.69,22.8989
bangkok_0493,bangkok,202,209,10,86,92,0.049505,0.425743,0.455446,2.0693,48.42,10119.28,0.02005,315.62,15.8114
bangkok_0690,bangkok,188,244,23,105,42,0.12234,0.558511,0.223404,2.5957,44.97,10971.64,0.153639,293.75,17.1432
bangkok_0511,bangkok,109,110,2,46,48,0.018349,0.422018,0.440367,2.0183,62.83,6911.47,0.00939,170.31,10.7992
bangkok_0599,bangkok,268,314,31,117,93,0.115672,0.436567,0.347015,2.3433,52.04,16340.74,0.088512,418.75,25.5324
bangkok_0549,bangkok,299,332,26,135,124,0.086957,0.451505,0.414716,2.2207,45.09,14968.78,0.057336,467.19,23.3887
barcelona_0142,barcelona,597,957,208,326,22,0.348409,0.546064,0.036851,3.206,24.95,23879.44,0.303616,932.81,37.3116
barcelona_0100,barcelona,865,1392,311,447,21,0.359538,0.516763,0.024277,3.2185,25.36,35307.96,0.306087,1351.56,55.1687
barcelona_0160,barcelona,693,1073,209,378,45,0.301587,0.545455,0.064935,3.0967,30.6,32829.6,0.275887,1082.81,51.2962
barcelona_0167,barcelona,478,764,156,264,19,0.32636,0.552301,0.039749,3.1967,30.34,23179.86,0.301788,746.87,36.2185
barcelona_0042,barcelona,190,287,44,109,21,0.231579,0.573684,0.110526,3.0211,47.84,13728.66,0.261333,296.87,21.451
barcelona_0050,barcelona,841,1361,313,438,30,0.372176,0.520809,0.035672,3.2366,26.44,35982.87,0.310674,1314.06,56.2232
barcelona_0115,barcelona,724,1139,222,415,38,0.30663,0.573204,0.052486,3.1464,28.49,32444.86,0.288288,1131.25,50.6951
barcelona_0132,barcelona,991,1571,294,588,28,0.29667,0.59334,0.028254,3.1705,24.5,38487.86,0.29388,1548.44,60.1373
barcelona_0015,barcelona,181,254,38,98,31,0.209945,0.541436,0.171271,2.8066,54.75,13907.11,0.207283,282.81,21.7299
barcelona_0081,barcelona,613,889,105,383,58,0.171289,0.624796,0.094617,2.9005,31.75,28228.01,0.226863,957.81,44.1063
bengaluru_0487,bengaluru,135,203,48,53,16,0.355556,0.392593,0.118519,3.0074,64.54,13101.0,0.260377,210.94,20.4703
bengaluru_0969,bengaluru,166,191,15,82,62,0.090361,0.493976,0.373494,2.3012,70.21,13409.66,0.079511,259.37,20.9526
bengaluru_0170,bengaluru,131,161,22,53,37,0.167939,0.40458,0.282443,2.458,63.84,10278.24,0.120623,204.69,16.0597
bengaluru_0569,bengaluru,180,223,24,88,50,0.133333,0.488889,0.277778,2.4778,61.21,13649.08,0.123944,281.25,21.3267
bengaluru_0894,bengaluru,189,211,8,96,68,0.042328,0.507937,0.359788,2.2328,57.71,12176.17,0.061662,295.31,19.0253
bengaluru_0925,bengaluru,91,106,2,54,28,0.021978,0.593407,0.307692,2.3297,56.81,6021.55,0.090395,142.19,9.4087
bengaluru_0031,bengaluru,203,260,19,116,40,0.093596,0.571429,0.197044,2.5616,58.63,15244.87,0.144638,317.19,23.8201
bengaluru_0500,bengaluru,148,211,32,80,22,0.216216,0.540541,0.148649,2.8514,48.73,10282.58,0.219931,231.25,16.0665
bengaluru_0461,bengaluru,174,233,31,89,33,0.178161,0.511494,0.189655,2.6782,48.23,11236.49,0.174927,271.87,17.557
bengaluru_0074,bengaluru,213,283,28,116,35,0.131455,0.544601,0.164319,2.6573,56.61,16021.86,0.168646,332.81,25.0342
